lock_key	name	version	is_direct_name	owner_count	owners	owner_groups	action
isexe@2.0.0	isexe	2.0.0	false	2	@modelcontextprotocol/sdk,node-llama-cpp	runtime	replace-through-runtime-owner
isexe@4.0.0	isexe	4.0.0	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
jose@6.2.2	jose	6.2.2	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
js-tokens@9.0.1	js-tokens	9.0.1	false	1	vitest	dev	removed-with-js-toolchain
json-schema-traverse@1.0.0	json-schema-traverse	1.0.0	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
json-schema-typed@8.0.2	json-schema-typed	8.0.2	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
jsonfile@6.2.0	jsonfile	6.2.0	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
lifecycle-utils@2.1.0	lifecycle-utils	2.1.0	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
lifecycle-utils@3.1.1	lifecycle-utils	3.1.1	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
lodash.debounce@4.0.8	lodash.debounce	4.0.8	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
log-symbols@7.0.1	log-symbols	7.0.1	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
loupe@3.2.1	loupe	3.2.1	false	1	vitest	dev	removed-with-js-toolchain
lowdb@7.0.1	lowdb	7.0.1	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
magic-string@0.30.21	magic-string	0.30.21	false	1	vitest	dev	removed-with-js-toolchain
math-intrinsics@1.1.0	math-intrinsics	1.1.0	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
media-typer@1.1.0	media-typer	1.1.0	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
merge-descriptors@2.0.0	merge-descriptors	2.0.0	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
merge2@1.4.1	merge2	1.4.1	false	1	fast-glob	runtime	replace-through-runtime-owner
micromatch@4.0.8	micromatch	4.0.8	false	1	fast-glob	runtime	replace-through-runtime-owner
mime-db@1.54.0	mime-db	1.54.0	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
mime-types@3.0.2	mime-types	3.0.2	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
mimic-function@5.0.1	mimic-function	5.0.1	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
mimic-response@3.1.0	mimic-response	3.1.0	false	1	better-sqlite3	runtime	replace-through-runtime-owner
minimist@1.2.8	minimist	1.2.8	false	2	better-sqlite3,node-llama-cpp	runtime	replace-through-runtime-owner
minipass@7.1.3	minipass	7.1.3	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
minizlib@3.1.0	minizlib	3.1.0	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
mkdirp-classic@0.5.3	mkdirp-classic	0.5.3	false	1	better-sqlite3	runtime	replace-through-runtime-owner
ms@2.1.3	ms	2.1.3	false	3	@modelcontextprotocol/sdk,node-llama-cpp,vitest	dev,runtime	split-runtime-and-tooling
nanoid@3.3.11	nanoid	3.3.11	false	1	vitest	dev	removed-with-js-toolchain
nanoid@5.1.7	nanoid	5.1.7	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
napi-build-utils@2.0.0	napi-build-utils	2.0.0	false	1	better-sqlite3	runtime	replace-through-runtime-owner
negotiator@1.0.0	negotiator	1.0.0	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
node-abi@3.89.0	node-abi	3.89.0	false	1	better-sqlite3	runtime	replace-through-runtime-owner
node-addon-api@8.7.0	node-addon-api	8.7.0	false	5	node-llama-cpp,tree-sitter-go,tree-sitter-python,tree-sitter-rust,tree-sitter-typescript	runtime	replace-through-runtime-owner
node-api-headers@1.8.0	node-api-headers	1.8.0	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
node-gyp-build@4.8.4	node-gyp-build	4.8.4	false	4	tree-sitter-go,tree-sitter-python,tree-sitter-rust,tree-sitter-typescript	runtime	replace-through-runtime-owner
node-llama-cpp@3.18.1(typescript@5.9.3)	node-llama-cpp	3.18.1(typescript@5.9.3)	true	1	node-llama-cpp	runtime	covered-in-direct-plan
